Ticker,Nazwa,Kwartały,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
KERNEL,KERNEL,2014/Q4,"12,02%","7,30%","14,09%","4,59%","10,53%","4,35%","21,99%","22,40%"
KERNEL,KERNEL,2015/Q1,"11,57%","6,96%","14,36%","4,96%","10,72%","4,81%","22,19%","20,13%"
KERNEL,KERNEL,2015/Q2,"18,17%","10,15%","15,03%","8,16%","11,01%","8,32%","22,42%","18,72%"
KERNEL,KERNEL,2015/Q3,"27,15%","16,27%","14,31%","12,18%","12,13%","13,10%","23,33%","19,10%"
KERNEL,KERNEL,2015/Q4,"22,62%","14,92%","14,30%","11,21%","12,08%","12,34%","22,91%","19,03%"
KERNEL,KERNEL,2016/Q1,"25,57%","15,92%","14,93%","12,81%","12,43%","13,92%","23,48%","18,56%"
KERNEL,KERNEL,2016/Q2,"21,17%","12,00%","14,06%","11,67%","12,20%","12,94%","22,62%","14,46%"
KERNEL,KERNEL,2016/Q3,"16,75%","9,87%","13,41%","9,03%","13,29%","10,47%","23,72%","14,65%"
KERNEL,KERNEL,2016/Q4,"15,29%","8,77%","12,22%","8,13%","10,41%","9,06%","20,51%","13,19%"
KERNEL,KERNEL,2017/Q1,"13,22%","7,65%","10,41%","6,25%","8,92%","6,77%","18,55%","12,75%"
KERNEL,KERNEL,2017/Q2,"9,78%","5,02%","7,94%","4,82%","6,78%","5,06%","16,56%","8,27%"
KERNEL,KERNEL,2017/Q3,"3,12%","1,54%","7,28%","1,63%","2,12%","2,30%","11,91%","6,90%"
KERNEL,KERNEL,2017/Q4,"4,45%","2,36%","5,81%","2,17%","2,57%","2,08%","12,29%","6,31%"
KERNEL,KERNEL,2018/Q1,"8,86%","4,45%","6,44%","3,53%","3,56%","3,68%","12,59%","8,11%"
KERNEL,KERNEL,2018/Q2,"10,23%","5,02%","7,01%","3,66%","4,97%","3,95%","9,81%","9,61%"
KERNEL,KERNEL,2018/Q3,"14,37%","7,27%","6,12%","4,96%","6,03%","4,66%","9,75%","8,97%"
KERNEL,KERNEL,2018/Q4,"14,02%","7,69%","6,74%","4,75%","5,81%","4,77%","8,48%","10,93%"
KERNEL,KERNEL,2019/Q1,"11,27%","5,39%","7,32%","4,73%","5,47%","4,73%","6,77%","8,36%"
KERNEL,KERNEL,2019/Q2,"8,61%","3,56%","6,65%","3,56%","5,04%","3,76%","8,28%","6,66%"
KERNEL,KERNEL,2019/Q3,"4,91%","2,08%","7,35%","1,92%","4,95%","1,96%","8,02%","7,98%"
KERNEL,KERNEL,2019/Q4,"7,90%","3,72%","8,21%","2,87%","8,04%","3,53%","11,25%","10,66%"
KERNEL,KERNEL,2020/Q1,"15,97%","7,46%","12,29%","6,08%","12,80%","7,40%","16,17%","15,08%"
KERNEL,KERNEL,2020/Q2,"20,73%","9,28%","14,83%","7,53%","14,74%","9,74%","18,42%","18,28%"
KERNEL,KERNEL,2020/Q3,"21,86%","9,60%","13,01%","7,41%","13,06%","10,30%","16,44%","16,85%"
KERNEL,KERNEL,2020/Q4,"26,34%","12,83%","14,38%","9,08%","12,69%","11,95%","15,99%","20,32%"
KERNEL,KERNEL,2021/Q1,"23,58%","11,58%","13,65%","8,57%","12,48%","11,32%","15,66%","18,45%"
KERNEL,KERNEL,2021/Q2,"25,86%","11,45%","12,76%","8,81%","11,84%","10,82%","15,53%","16,58%"
KERNEL,KERNEL,2021/Q3,"21,39%","9,10%","11,59%","6,86%","10,21%","8,62%","14,17%","15,36%"
KERNEL,KERNEL,2021/Q4,"-2,44%","-0,98%","1,70%","-0,77%","7,67%","-0,82%","12,00%","2,17%"
KERNEL,KERNEL,2022/Q1,"-4,76%","-1,96%","-1,32%","-1,91%","5,53%","-2,76%","10,56%","-1,35%"
KERNEL,KERNEL,2022/Q2,"-3,03%","-1,35%","-1,16%","-1,36%","6,48%","-2,52%","11,25%","-1,15%"
KERNEL,KERNEL,2022/Q3,"6,06%","2,81%","2,17%","3,46%","12,67%","2,26%","19,06%","1,77%"
KERNEL,KERNEL,2022/Q4,"17,18%","7,70%","12,72%","8,66%","12,49%","10,65%","18,42%","11,31%"
KERNEL,KERNEL,2023/Q1,"6,57%","3,03%","9,09%","3,50%","9,88%","5,36%","15,62%","7,86%"
KERNEL,KERNEL,2023/Q2,"1,62%","0,92%","7,07%","0,91%","7,94%","2,85%","13,87%","7,13%"
KERNEL,KERNEL,2023/Q3,"2,91%","1,66%","6,54%","1,67%","7,91%","3,07%","13,43%","6,48%"
KERNEL,KERNEL,2023/Q4,"9,01%","4,94%","7,72%","4,69%","13,09%","5,89%","19,04%","8,14%"
KERNEL,KERNEL,2024/Q1,"16,58%","9,08%","10,81%","8,23%","15,02%","9,54%","20,74%","11,92%"
KERNEL,KERNEL,2024/Q2,"11,57%","6,84%","8,39%","6,04%","12,44%","7,35%","18,57%","9,49%"
KERNEL,KERNEL,2024/Q3,"8,91%","5,54%","6,94%","4,37%","10,27%","5,67%","16,28%","8,79%"
KGHM,KGHM,2004/Q4,"24,42%","14,70%","22,51%","18,80%","22,70%","22,91%","33,54%","17,61%"
KGHM,KGHM,2005/Q4,"33,15%","19,03%","28,32%","23,28%","28,23%","30,23%","37,69%","23,15%"
KGHM,KGHM,2006/Q1,"36,95%","21,37%","30,66%","25,13%","30,30%","32,59%","39,12%","26,07%"
KGHM,KGHM,2006/Q2,"55,80%","21,43%","31,79%","26,28%","32,56%","33,90%","40,28%","25,93%"
KGHM,KGHM,2006/Q3,"48,71%","26,06%","31,80%","26,10%","33,27%","33,69%","40,58%","31,76%"
KGHM,KGHM,2006/Q4,"42,71%","27,01%","32,43%","27,29%","32,72%","32,74%","39,64%","32,10%"
KGHM,KGHM,2007/Q1,"36,86%","24,86%","30,94%","26,20%","32,44%","31,20%","39,44%","29,35%"
KGHM,KGHM,2007/Q2,"47,84%","23,65%","30,89%","26,26%","33,56%","31,15%","40,44%","27,83%"
KGHM,KGHM,2007/Q3,"43,56%","26,60%","32,80%","27,89%","35,38%","33,01%","42,25%","31,28%"
KGHM,KGHM,2007/Q4,"41,62%","29,14%","33,55%","29,16%","36,82%","35,25%","43,84%","33,52%"
KGHM,KGHM,2008/Q1,"38,92%","28,35%","33,20%","28,91%","36,89%","34,94%","43,78%","32,55%"
KGHM,KGHM,2008/Q2,"40,86%","25,76%","31,68%","27,79%","34,95%","33,49%","41,98%","29,36%"
KGHM,KGHM,2008/Q3,"32,94%","24,21%","28,99%","25,71%","30,63%","30,89%","38,20%","27,29%"
KGHM,KGHM,2008/Q4,"25,32%","18,44%","25,18%","21,86%","24,98%","26,84%","32,91%","21,24%"
KGHM,KGHM,2009/Q1,"22,95%","17,09%","25,23%","21,73%","23,19%","26,81%","31,40%","19,84%"
KGHM,KGHM,2009/Q2,"24,96%","15,11%","23,28%","20,30%","20,77%","25,03%","29,59%","17,33%"
KGHM,KGHM,2009/Q3,"20,33%","13,72%","20,05%","17,74%","21,44%","21,88%","30,26%","15,51%"
KGHM,KGHM,2009/Q4,"18,43%","13,01%","22,11%","15,98%","26,26%","23,71%","34,63%","17,99%"
KGHM,KGHM,2010/Q1,"18,20%","12,50%","21,31%","15,70%","27,69%","22,98%","35,66%","16,98%"
KGHM,KGHM,2010/Q2,"24,34%","16,95%","28,06%","21,24%","31,50%","29,50%","38,59%","22,38%"
KGHM,KGHM,2010/Q3,"26,81%","19,08%","30,09%","23,07%","34,21%","31,44%","40,81%","24,89%"
KGHM,KGHM,2010/Q4,"32,18%","22,24%","32,84%","28,18%","39,64%","34,25%","44,60%","25,92%"
KGHM,KGHM,2011/Q1,"35,51%","26,32%","37,91%","32,04%","42,25%","39,16%","46,81%","31,14%"
KGHM,KGHM,2011/Q2,"41,07%","26,41%","38,71%","32,93%","43,71%","40,05%","48,28%","31,05%"
KGHM,KGHM,2011/Q3,"44,56%","33,26%","48,12%","41,08%","44,55%","48,96%","48,55%","38,95%"
KGHM,KGHM,2011/Q4,"48,16%","36,30%","59,85%","50,33%","42,70%","60,47%","47,39%","43,17%"
KGHM,KGHM,2012/Q1,"43,90%","28,85%","54,79%","45,77%","41,00%","55,06%","45,93%","34,53%"
KGHM,KGHM,2012/Q2,"47,01%","25,39%","49,16%","39,95%","35,54%","48,74%","40,49%","31,24%"
KGHM,KGHM,2012/Q3,"36,39%","22,13%","38,62%","29,92%","30,75%","38,08%","36,25%","28,56%"
KGHM,KGHM,2012/Q4,"22,15%","14,14%","24,69%","17,98%","26,74%","24,15%","32,30%","19,42%"
KGHM,KGHM,2013/Q1,"19,51%","12,92%","23,84%","16,71%","24,00%","23,10%","29,40%","18,44%"
KGHM,KGHM,2013/Q2,"17,09%","10,69%","21,45%","14,74%","22,68%","20,65%","28,28%","15,55%"
KGHM,KGHM,2013/Q3,"14,24%","9,18%","19,11%","12,90%","20,45%","18,32%","26,12%","13,60%"
KGHM,KGHM,2013/Q4,"13,29%","8,81%","18,06%","12,59%","19,09%","17,49%","24,96%","12,63%"
KGHM,KGHM,2014/Q1,"9,98%","6,60%","15,29%","10,56%","15,94%","14,79%","22,26%","9,55%"
KGHM,KGHM,2014/Q2,"10,08%","6,34%","15,75%","10,95%","15,80%","15,25%","22,33%","9,12%"
KGHM,KGHM,2014/Q3,"10,21%","6,35%","17,33%","11,88%","16,84%","16,40%","23,48%","9,27%"
KGHM,KGHM,2014/Q4,"9,68%","6,07%","17,94%","11,96%","16,36%","15,12%","23,14%","9,10%"
KGHM,KGHM,2015/Q1,"9,28%","5,68%","18,06%","11,81%","16,60%","14,83%","23,22%","8,68%"
KGHM,KGHM,2015/Q2,"9,65%","5,99%","18,54%","12,09%","16,89%","15,44%","23,25%","9,19%"
KGHM,KGHM,2015/Q3,"7,26%","4,42%","16,19%","9,19%","15,20%","11,89%","21,80%","7,78%"
KGHM,KGHM,2015/Q4,"-24,80%","-13,63%","-26,40%","-25,05%","2,53%","-25,60%","9,24%","-14,37%"
KGHM,KGHM,2016/Q1,"-25,83%","-14,15%","-30,65%","-27,35%","1,42%","-27,91%","8,34%","-15,86%"
KGHM,KGHM,2016/Q2,"-29,16%","-15,38%","-34,26%","-32,10%","-0,77%","-33,32%","6,64%","-16,41%"
KGHM,KGHM,2016/Q3,"-27,34%","-14,81%","-35,42%","-30,69%","0,25%","-31,43%","7,57%","-17,10%"
KGHM,KGHM,2016/Q4,"-27,71%","-13,07%","-16,80%","-22,82%","13,28%","-19,84%","20,43%","-9,63%"
KGHM,KGHM,2017/Q1,"-22,98%","-11,37%","-12,91%","-18,96%","15,52%","-15,45%","22,34%","-7,74%"
KGHM,KGHM,2017/Q2,"-21,32%","-10,79%","-15,17%","-17,71%","16,18%","-13,89%","22,83%","-9,24%"
KGHM,KGHM,2017/Q3,"-18,87%","-9,74%","-13,15%","-16,30%","16,93%","-12,58%","23,54%","-7,86%"
KGHM,KGHM,2017/Q4,"8,86%","4,60%","6,28%","7,70%","18,72%","11,29%","25,32%","3,75%"
KGHM,KGHM,2018/Q1,"7,16%","3,72%","5,57%","6,58%","17,23%","9,79%","24,04%","3,15%"
KGHM,KGHM,2018/Q2,"6,27%","3,12%","9,47%","5,62%","16,37%","8,14%","23,16%","5,27%"
KGHM,KGHM,2018/Q3,"4,78%","2,45%","8,17%","4,29%","14,86%","7,04%","21,50%","4,66%"
KGHM,KGHM,2018/Q4,"8,66%","4,45%","15,72%","8,07%","12,62%","12,01%","19,35%","8,67%"
KGHM,KGHM,2019/Q1,"9,15%","4,60%","16,99%","8,14%","12,28%","12,15%","18,71%","9,60%"
KGHM,KGHM,2019/Q2,"10,15%","5,16%","14,23%","9,03%","11,84%","13,14%","18,19%","8,14%"
KGHM,KGHM,2019/Q3,"11,62%","5,86%","18,48%","10,39%","12,47%","14,59%","18,92%","10,42%"
KGHM,KGHM,2019/Q4,"7,07%","3,61%","11,66%","6,25%","10,80%","9,34%","17,41%","6,72%"
KGHM,KGHM,2020/Q1,"7,66%","3,66%","13,59%","6,93%","9,81%","9,82%","16,52%","7,19%"
KGHM,KGHM,2020/Q2,"5,68%","2,78%","10,67%","5,14%","9,76%","7,92%","16,43%","5,76%"
KGHM,KGHM,2020/Q3,"4,45%","2,23%","6,87%","4,15%","10,40%","7,03%","17,00%","3,69%"
KGHM,KGHM,2020/Q4,"8,57%","4,21%","11,78%","7,62%","13,38%","11,66%","19,68%","6,51%"
KGHM,KGHM,2021/Q1,"11,56%","5,65%","14,02%","9,87%","16,38%","14,71%","22,38%","8,03%"
KGHM,KGHM,2021/Q2,"20,28%","10,70%","23,31%","17,74%","17,75%","23,09%","23,24%","14,07%"
KGHM,KGHM,2021/Q3,"21,13%","11,68%","25,39%","18,72%","17,11%","24,25%","22,41%","15,84%"
KGHM,KGHM,2021/Q4,"22,76%","12,82%","27,83%","20,66%","15,80%","26,25%","21,05%","17,27%"
KGHM,KGHM,2022/Q1,"23,39%","13,37%","26,52%","20,87%","15,82%","26,43%","20,78%","16,98%"
KGHM,KGHM,2022/Q2,"20,93%","12,45%","27,48%","19,90%","14,85%","25,61%","20,12%","17,19%"
KGHM,KGHM,2022/Q3,"20,68%","12,14%","27,77%","19,73%","13,40%","25,42%","18,88%","17,10%"
KGHM,KGHM,2022/Q4,"14,87%","8,93%","19,98%","14,10%","12,83%","19,17%","18,63%","12,65%"
KGHM,KGHM,2023/Q1,"9,45%","5,69%","14,03%","8,81%","9,31%","13,05%","15,18%","9,06%"
KGHM,KGHM,2023/Q2,"3,01%","1,82%","5,37%","2,93%","6,56%","6,17%","12,59%","3,34%"
KGHM,KGHM,2023/Q3,"1,01%","0,60%","2,89%","0,99%","5,17%","3,89%","11,09%","1,76%"
KGHM,KGHM,2023/Q4,"-12,95%","-7,20%","-11,23%","-11,05%","-4,90%","-10,76%","1,67%","-7,32%"
KGHM,KGHM,2024/Q1,"-11,92%","-6,73%","-10,52%","-10,67%","-5,33%","-10,59%","1,51%","-6,63%"
KGHM,KGHM,2024/Q2,"-10,30%","-5,67%","-6,98%","-9,10%","-1,28%","-7,70%","5,49%","-4,35%"
KGHM,KGHM,2024/Q3,"-10,96%","-6,20%","-8,85%","-9,46%","0,76%","-8,55%","7,68%","-5,80%"
KGHM,KGHM,2024/Q4,"9,25%","5,32%","14,13%","8,12%","10,67%","13,05%","16,91%","9,26%"
KGHM,KGHM,2025/Q1,"8,85%","5,12%","13,41%","7,72%","11,99%","12,91%","18,28%","8,90%"
KGL,KGL,2011/Q4,,,,,,,,
KGL,KGL,2012/Q4,"12,43%","3,43%","2,97%","2,15%","2,64%","1,37%","11,49%","4,74%"
KGL,KGL,2013/Q4,"5,59%","1,42%","2,36%","0,94%","1,98%","1,17%","11,91%","3,56%"
KGL,KGL,2014/Q4,"12,63%","3,51%","4,34%","2,28%","3,85%","2,96%","13,58%","6,68%"
KGL,KGL,2015/Q4,"13,82%","6,55%","6,60%","4,48%","7,01%","5,68%","16,55%","9,67%"
KGL,KGL,2016/Q1,"13,45%","5,90%","6,51%","4,39%","6,93%","5,50%","16,46%","8,75%"
KGL,KGL,2016/Q2,"14,02%","6,16%","6,64%","4,49%","6,99%","5,66%","16,15%","9,11%"
KGL,KGL,2016/Q3,"14,26%","6,20%","6,52%","4,61%","6,78%","5,87%","16,37%","8,76%"
KGL,KGL,2016/Q4,"14,26%","6,17%","6,61%","4,63%","6,76%","5,77%","16,08%","8,82%"
KGL,KGL,2017/Q1,"15,48%","6,46%","6,43%","4,92%","6,46%","6,07%","15,85%","8,45%"
KGL,KGL,2017/Q2,"15,28%","6,50%","6,24%","4,89%","6,20%","6,00%","16,17%","8,29%"
KGL,KGL,2017/Q3,"13,34%","5,50%","5,74%","4,18%","5,65%","5,12%","15,53%","7,56%"
KGL,KGL,2017/Q4,"14,07%","6,03%","5,87%","4,43%","5,35%","5,46%","15,25%","7,99%"
KGL,KGL,2018/Q1,"10,69%","4,60%","5,23%","3,41%","4,72%","4,27%","14,96%","7,04%"
KGL,KGL,2018/Q2,"8,14%","3,16%","4,30%","2,46%","3,70%","3,10%","13,97%","5,52%"
KGL,KGL,2018/Q3,"7,38%","2,98%","3,69%","2,23%","3,03%","2,73%","13,41%","4,94%"
KGL,KGL,2018/Q4,"5,46%","2,24%","3,26%","1,64%","2,82%","2,06%","13,58%","4,45%"
KGL,KGL,2019/Q1,"5,52%","2,18%","3,27%","1,65%","2,72%","2,07%","13,68%","4,32%"
KGL,KGL,2019/Q2,"8,25%","3,35%","3,96%","2,48%","3,02%","3,12%","14,54%","5,35%"
KGL,KGL,2019/Q3,"8,52%","3,51%","4,59%","2,60%","3,60%","3,30%","15,82%","6,21%"
KGL,KGL,2019/Q4,"9,87%","4,37%","4,75%","3,10%","3,70%","3,90%","16,21%","6,69%"
KGL,KGL,2020/Q1,"9,03%","3,73%","5,41%","2,90%","4,40%","3,65%","17,28%","6,97%"
KGL,KGL,2020/Q2,"9,64%","4,04%","5,80%","3,27%","5,32%","4,21%","18,33%","7,16%"
KGL,KGL,2020/Q3,"10,43%","4,41%","5,99%","3,68%","5,63%","4,61%","18,67%","7,18%"
KGL,KGL,2020/Q4,"8,49%","3,22%","5,94%","2,94%","4,60%","3,89%","17,88%","6,50%"
KGL,KGL,2021/Q1,"9,70%","3,54%","5,39%","3,17%","4,22%","4,14%","16,79%","6,02%"
KGL,KGL,2021/Q2,"9,80%","3,34%","4,53%","2,84%","3,19%","3,57%","14,72%","5,32%"
KGL,KGL,2021/Q3,"5,65%","1,88%","3,04%","1,46%","1,75%","1,94%","12,55%","3,91%"
KGL,KGL,2021/Q4,"3,91%","1,26%","1,99%","0,91%","1,34%","1,22%","11,58%","2,76%"
KGL,KGL,2022/Q1,"-0,74%","-0,23%","1,03%","-0,16%","0,29%","0,01%","10,27%","1,49%"
KGL,KGL,2022/Q2,"-3,55%","-1,12%","1,03%","-0,72%","0,45%","-0,79%","10,26%","1,60%"
KGL,KGL,2022/Q3,"-12,71%","-3,87%","0,09%","-2,30%","-0,50%","-2,44%","9,39%","0,15%"
KGL,KGL,2022/Q4,"-14,50%","-4,54%","-0,04%","-2,60%","-0,46%","-2,83%","9,59%","-0,07%"
KGL,KGL,2023/Q1,"-7,78%","-2,51%","1,47%","-1,52%","1,14%","-1,56%","11,64%","2,43%"
KGL,KGL,2023/Q2,"-4,54%","-1,53%","1,99%","-0,98%","2,00%","-0,76%","13,22%","3,10%"
KGL,KGL,2023/Q3,"5,65%","2,02%","4,56%","1,27%","4,65%","1,73%","16,18%","7,27%"
KGL,KGL,2023/Q4,"13,53%","5,23%","6,24%","3,25%","6,11%","4,12%","17,88%","10,04%"
KGL,KGL,2024/Q1,"12,49%","4,76%","5,86%","3,14%","5,48%","4,00%","17,79%","8,89%"
KGL,KGL,2024/Q2,"8,17%","3,02%","4,82%","2,01%","4,11%","2,60%","16,89%","7,26%"
KGL,KGL,2024/Q3,"6,12%","2,22%","3,27%","1,51%","2,46%","1,89%","15,69%","4,80%"
KGL,KGL,2024/Q4,"-2,97%","-1,05%","1,79%","-0,71%","0,84%","-0,60%","14,35%","2,63%"
KGL,KGL,2025/Q1,"-6,04%","-2,05%","0,74%","-1,47%","0,04%","-1,61%","13,96%","1,03%"
KOGENERACJA,KOGENERA,2004/Q4,"2,55%","1,14%","7,42%","2,63%","7,06%","2,80%","13,03%","3,21%"
KOGENERACJA,KOGENERA,2005/Q4,"5,11%","2,34%","9,23%","4,29%","9,70%","6,58%","15,39%","5,02%"
KOGENERACJA,KOGENERA,2006/Q1,"6,64%","3,51%","10,45%","6,18%","10,98%","8,26%","16,49%","5,94%"
KOGENERACJA,KOGENERA,2006/Q2,"5,57%","2,96%","9,67%","4,95%","10,13%","6,82%","15,92%","5,79%"
KOGENERACJA,KOGENERA,2006/Q3,"5,67%","2,94%","9,71%","4,80%","10,18%","6,97%","15,97%","5,95%"
KOGENERACJA,KOGENERA,2006/Q4,"5,88%","3,00%","10,16%","4,98%","7,94%","6,41%","13,44%","6,12%"
KOGENERACJA,KOGENERA,2007/Q1,"5,83%","3,24%","10,37%","5,67%","6,08%","6,42%","12,36%","5,92%"
KOGENERACJA,KOGENERA,2007/Q2,"6,78%","3,65%","10,68%","6,43%","5,82%","7,85%","11,70%","6,06%"
KOGENERACJA,KOGENERA,2007/Q3,"7,29%","4,02%","11,11%","6,85%","6,34%","8,42%","12,38%","6,52%"
KOGENERACJA,KOGENERA,2007/Q4,"8,72%","4,80%","12,60%","8,56%","8,22%","10,68%","14,67%","7,06%"
KOGENERACJA,KOGENERA,2008/Q1,"7,52%","4,34%","12,58%","7,68%","10,77%","10,82%","16,45%","7,11%"
KOGENERACJA,KOGENERA,2008/Q2,"8,33%","4,69%","12,65%","8,02%","10,65%","10,28%","16,82%","7,39%"
KOGENERACJA,KOGENERA,2008/Q3,"7,79%","4,28%","11,93%","7,28%","9,87%","9,44%","15,95%","7,01%"
KOGENERACJA,KOGENERA,2008/Q4,"9,54%","4,99%","11,00%","9,06%","9,76%","9,07%","15,71%","6,06%"
KOGENERACJA,KOGENERA,2009/Q1,"14,41%","8,69%","17,18%","14,67%","16,16%","15,19%","21,80%","10,18%"
KOGENERACJA,KOGENERA,2009/Q2,"16,09%","9,20%","19,70%","15,36%","17,98%","17,92%","23,43%","11,80%"
KOGENERACJA,KOGENERA,2009/Q3,"16,91%","9,09%","19,43%","15,70%","17,97%","17,76%","23,56%","11,25%"
KOGENERACJA,KOGENERA,2009/Q4,"17,56%","9,06%","22,75%","16,52%","21,94%","20,94%","27,01%","12,48%"
KOGENERACJA,KOGENERA,2010/Q1,"13,97%","8,13%","21,00%","14,40%","20,04%","19,33%","24,96%","11,85%"
KOGENERACJA,KOGENERA,2010/Q2,"14,56%","8,35%","19,02%","14,27%","19,46%","17,63%","24,25%","11,14%"
KOGENERACJA,KOGENERA,2010/Q3,"15,11%","8,50%","19,05%","14,33%","19,54%","17,74%","24,08%","11,30%"
KOGENERACJA,KOGENERA,2010/Q4,"13,45%","7,40%","18,62%","13,83%","19,40%","17,07%","22,96%","9,97%"
KOGENERACJA,KOGENERA,2011/Q1,"12,00%","7,14%","18,03%","13,32%","18,84%","16,54%","22,34%","9,66%"
KOGENERACJA,KOGENERA,2011/Q2,"11,66%","7,16%","17,16%","12,32%","16,84%","15,25%","20,32%","9,97%"
KOGENERACJA,KOGENERA,2011/Q3,"11,12%","6,39%","16,36%","11,22%","15,75%","14,44%","19,46%","9,31%"
KOGENERACJA,KOGENERA,2011/Q4,"11,62%","6,73%","17,54%","12,15%","17,48%","15,55%","21,24%","9,72%"
KOGENERACJA,KOGENERA,2012/Q1,"10,35%","6,65%","16,73%","11,51%","16,82%","14,77%","20,39%","9,66%"
KOGENERACJA,KOGENERA,2012/Q2,"10,55%","6,43%","16,14%","10,99%","17,12%","14,22%","20,43%","9,45%"
KOGENERACJA,KOGENERA,2012/Q3,"10,44%","6,68%","15,28%","10,59%","16,42%","13,39%","19,33%","9,63%"
KOGENERACJA,KOGENERA,2012/Q4,"8,31%","5,00%","12,20%","8,33%","13,12%","10,73%","16,40%","7,33%"
KOGENERACJA,KOGENERA,2013/Q1,"5,95%","4,13%","9,86%","6,51%","10,27%","8,41%","13,58%","6,26%"
KOGENERACJA,KOGENERA,2013/Q2,"10,92%","7,48%","16,23%","12,02%","15,55%","14,86%","18,51%","10,11%"
KOGENERACJA,KOGENERA,2013/Q3,"12,28%","8,00%","18,04%","13,42%","15,59%","16,61%","18,35%","10,76%"
KOGENERACJA,KOGENERA,2013/Q4,"6,59%","4,07%","9,95%","7,84%","11,84%","9,78%","14,88%","5,17%"
KOGENERACJA,KOGENERA,2014/Q1,"4,76%","3,12%","7,66%","6,14%","10,15%","7,65%","13,10%","3,89%"
KOGENERACJA,KOGENERA,2014/Q2,"1,46%","0,96%","0,89%","2,04%","4,57%","1,02%","7,25%","0,42%"
KOGENERACJA,KOGENERA,2014/Q3,"1,37%","0,85%","0,52%","1,91%","4,89%","0,80%","7,22%","0,23%"
KOGENERACJA,KOGENERA,2014/Q4,"3,97%","2,38%","6,42%","5,49%","7,21%","5,38%","9,01%","2,78%"
KOGENERACJA,KOGENERA,2015/Q1,"6,48%","4,13%","10,92%","9,04%","11,62%","9,81%","13,39%","4,99%"
KOGENERACJA,KOGENERA,2015/Q2,"6,48%","4,11%","12,73%","9,10%","12,74%","11,53%","14,09%","5,75%"
KOGENERACJA,KOGENERA,2015/Q3,"6,81%","4,20%","12,75%","9,15%","13,80%","11,55%","14,97%","5,85%"
KOGENERACJA,KOGENERA,2015/Q4,"9,17%","5,56%","17,06%","12,65%","16,98%","15,98%","17,91%","7,49%"
KOGENERACJA,KOGENERA,2016/Q1,"10,28%","6,49%","19,24%","14,51%","19,02%","18,22%","19,70%","8,60%"
KOGENERACJA,KOGENERA,2016/Q2,"10,43%","6,49%","18,49%","13,95%","18,85%","17,41%","19,77%","8,60%"
KOGENERACJA,KOGENERA,2016/Q3,"9,70%","6,12%","17,49%","12,97%","17,87%","16,32%","18,85%","8,25%"
KOGENERACJA,KOGENERA,2016/Q4,"10,96%","6,86%","19,59%","14,99%","19,00%","18,66%","19,90%","8,96%"
KOGENERACJA,KOGENERA,2017/Q1,"10,33%","6,64%","19,64%","15,02%","19,12%","18,78%","20,00%","8,67%"
KOGENERACJA,KOGENERA,2017/Q2,"11,06%","7,01%","19,93%","15,17%","19,04%","19,14%","19,99%","9,21%"
KOGENERACJA,KOGENERA,2017/Q3,"12,56%","8,28%","21,69%","16,85%","21,56%","20,98%","22,47%","10,66%"
KOGENERACJA,KOGENERA,2017/Q4,"8,74%","5,64%","16,27%","12,93%","15,80%","16,21%","16,83%","7,10%"
KOGENERACJA,KOGENERA,2018/Q1,"8,56%","5,69%","16,90%","13,58%","16,44%","17,05%","17,40%","7,09%"
KOGENERACJA,KOGENERA,2018/Q2,"2,31%","1,46%","3,72%","3,58%","3,52%","4,32%","4,48%","1,52%"
KOGENERACJA,KOGENERA,2018/Q3,"1,29%","0,81%","1,65%","1,99%","0,84%","2,56%","1,80%","0,67%"
KOGENERACJA,KOGENERA,2018/Q4,"0,82%","0,50%","1,23%","1,24%","0,93%","1,57%","1,76%","0,50%"
KOGENERACJA,KOGENERA,2019/Q1,"-1,61%","-0,95%","-3,87%","-2,58%","-4,23%","-3,28%","-2,72%","-1,43%"
KOGENERACJA,KOGENERA,2019/Q2,"3,02%","1,85%","5,61%","4,51%","5,57%","5,77%","7,33%","2,30%"
KOGENERACJA,KOGENERA,2019/Q3,"3,65%","2,21%","6,56%","5,25%","6,20%","6,86%","8,24%","2,76%"
KOGENERACJA,KOGENERA,2019/Q4,"5,38%","3,24%","9,52%","7,67%","8,72%","9,74%","11,21%","4,02%"
KOGENERACJA,KOGENERA,2020/Q1,"8,56%","5,10%","16,28%","12,95%","6,20%","16,42%","10,15%","6,40%"
KOGENERACJA,KOGENERA,2020/Q2,"9,84%","6,29%","18,35%","14,89%","4,42%","18,78%","9,78%","7,75%"
KOGENERACJA,KOGENERA,2020/Q3,"9,48%","6,00%","17,04%","13,75%","3,74%","17,26%","10,29%","7,44%"
KOGENERACJA,KOGENERA,2020/Q4,"7,38%","4,34%","13,27%","10,47%","1,70%","13,33%","9,33%","5,50%"
KOGENERACJA,KOGENERA,2021/Q1,"3,50%","1,97%","6,41%","4,87%","3,70%","6,33%","10,68%","2,59%"
KOGENERACJA,KOGENERA,2021/Q2,"4,10%","2,65%","7,22%","5,45%","7,17%","7,03%","13,77%","3,51%"
KOGENERACJA,KOGENERA,2021/Q3,"4,69%","3,03%","8,07%","6,13%","7,37%","7,84%","13,94%","3,99%"
KOGENERACJA,KOGENERA,2021/Q4,"3,23%","1,75%","4,66%","3,92%","3,42%","5,07%","10,00%","2,08%"
