Ticker,Nazwa,Kwartały,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji
BANK-MILLENNIUM,MILLENNIUM,2019/Q4,"-98,26%","630,72%"
BANK-MILLENNIUM,MILLENNIUM,2020/Q1,"31,87%","120,99%"
BANK-MILLENNIUM,MILLENNIUM,2020/Q2,"5,06%","142,69%"
BANK-MILLENNIUM,MILLENNIUM,2020/Q3,"5,81%","282,11%"
BANK-MILLENNIUM,MILLENNIUM,2020/Q4,"-0,73%",
BANK-MILLENNIUM,MILLENNIUM,2021/Q1,"-22,39%",
BANK-MILLENNIUM,MILLENNIUM,2021/Q2,"41,40%",
BANK-MILLENNIUM,MILLENNIUM,2021/Q3,"46,42%",
BANK-MILLENNIUM,MILLENNIUM,2021/Q4,"-47,78%","23,76%"
BANK-MILLENNIUM,MILLENNIUM,2022/Q1,"-30,69%",
BANK-MILLENNIUM,MILLENNIUM,2022/Q2,"-39,91%",
BANK-MILLENNIUM,MILLENNIUM,2022/Q3,"-32,65%",
BANK-MILLENNIUM,MILLENNIUM,2022/Q4,"-10,15%",
BANK-MILLENNIUM,MILLENNIUM,2023/Q1,"-9,04%","10,48%"
BANK-MILLENNIUM,MILLENNIUM,2023/Q2,"-3,71%","73,80%"
BANK-MILLENNIUM,MILLENNIUM,2023/Q3,"4,20%","48,73%"
BANK-MILLENNIUM,MILLENNIUM,2023/Q4,"4,00%","74,06%"
BANK-MILLENNIUM,MILLENNIUM,2024/Q1,"2,56%","77,20%"
BANK-MILLENNIUM,MILLENNIUM,2024/Q2,"2,98%","79,34%"
BANK-MILLENNIUM,MILLENNIUM,2024/Q3,"7,18%","139,85%"
BANK-MILLENNIUM,MILLENNIUM,2024/Q4,"5,79%","129,20%"
BANK-MILLENNIUM,MILLENNIUM,2025/Q1,"7,61%","84,17%"
MIRACULUM,MIRACULUM,2005/Q4,"-206,21%","115,50%"
MIRACULUM,MIRACULUM,2006/Q4,"-27,22%",
MIRACULUM,MIRACULUM,2007/Q1,"-24,62%",
MIRACULUM,MIRACULUM,2007/Q2,"-19,72%",
MIRACULUM,MIRACULUM,2007/Q3,"-17,96%",
MIRACULUM,MIRACULUM,2007/Q4,"3,90%","98,24%"
MIRACULUM,MIRACULUM,2008/Q1,"-20,05%","362,17%"
MIRACULUM,MIRACULUM,2008/Q2,"11,26%","150,32%"
MIRACULUM,MIRACULUM,2008/Q3,"-43,79%","117,75%"
MIRACULUM,MIRACULUM,2008/Q4,"-219,73%","90,42%"
MIRACULUM,MIRACULUM,2009/Q1,"-182,66%","109,87%"
MIRACULUM,MIRACULUM,2009/Q2,"-461,10%","107,65%"
MIRACULUM,MIRACULUM,2009/Q3,"-692,21%",
MIRACULUM,MIRACULUM,2009/Q4,"4 369,19%",
MIRACULUM,MIRACULUM,2010/Q1,"837,14%",
MIRACULUM,MIRACULUM,2010/Q2,"10 296,50%",
MIRACULUM,MIRACULUM,2010/Q3,"1 156,65%",
MIRACULUM,MIRACULUM,2010/Q4,"-119,79%",
MIRACULUM,MIRACULUM,2011/Q1,"-4 564,90%",
MIRACULUM,MIRACULUM,2011/Q2,"-26,31%",
MIRACULUM,MIRACULUM,2011/Q3,"-38,59%",
MIRACULUM,MIRACULUM,2011/Q4,"1 204,64%",
MIRACULUM,MIRACULUM,2012/Q1,"642,38%",
MIRACULUM,MIRACULUM,2012/Q2,"1 042,32%",
MIRACULUM,MIRACULUM,2012/Q3,"559,41%","185,42%"
MIRACULUM,MIRACULUM,2012/Q4,"202,41%",
MIRACULUM,MIRACULUM,2013/Q1,"377,73%",
MIRACULUM,MIRACULUM,2013/Q2,"243,00%",
MIRACULUM,MIRACULUM,2013/Q3,"1 299,03%",
MIRACULUM,MIRACULUM,2013/Q4,"144,56%",
MIRACULUM,MIRACULUM,2014/Q1,"62,71%",
MIRACULUM,MIRACULUM,2014/Q2,"19,04%","104,75%"
MIRACULUM,MIRACULUM,2014/Q3,"22,52%","339,66%"
MIRACULUM,MIRACULUM,2014/Q4,"39,58%","392,90%"
MIRACULUM,MIRACULUM,2015/Q1,"-102,92%","496,99%"
MIRACULUM,MIRACULUM,2015/Q2,"-133,90%",
MIRACULUM,MIRACULUM,2015/Q3,"-112,82%","35,58%"
MIRACULUM,MIRACULUM,2015/Q4,"-80,80%",
MIRACULUM,MIRACULUM,2016/Q1,"-510,46%",
MIRACULUM,MIRACULUM,2016/Q2,"-728,57%",
MIRACULUM,MIRACULUM,2016/Q3,"-160,33%",
MIRACULUM,MIRACULUM,2016/Q4,"537,56%","-44,08%"
MIRACULUM,MIRACULUM,2017/Q1,"1 157,83%","82,11%"
MIRACULUM,MIRACULUM,2017/Q2,"447,27%","105,46%"
MIRACULUM,MIRACULUM,2017/Q3,"142,28%","93,97%"
MIRACULUM,MIRACULUM,2017/Q4,"79,13%","22,41%"
MIRACULUM,MIRACULUM,2018/Q1,"64,12%",
MIRACULUM,MIRACULUM,2018/Q2,"69,84%",
MIRACULUM,MIRACULUM,2018/Q3,"195,99%",
MIRACULUM,MIRACULUM,2018/Q4,"96,48%","52,34%"
MIRACULUM,MIRACULUM,2019/Q1,"103,02%","-524,10%"
MIRACULUM,MIRACULUM,2019/Q2,"98,44%","40,04%"
MIRACULUM,MIRACULUM,2019/Q3,"62,26%","-15,74%"
MIRACULUM,MIRACULUM,2019/Q4,"45,41%","-318,06%"
MIRACULUM,MIRACULUM,2020/Q1,"52,01%","68,93%"
MIRACULUM,MIRACULUM,2020/Q2,"71,77%","97,79%"
MIRACULUM,MIRACULUM,2020/Q3,"94,63%","111,83%"
MIRACULUM,MIRACULUM,2020/Q4,"159,71%","581,25%"
MIRACULUM,MIRACULUM,2021/Q1,"106,76%","-73,38%"
MIRACULUM,MIRACULUM,2021/Q2,"117,08%","-40,45%"
MIRACULUM,MIRACULUM,2021/Q3,"855,60%","7,31%"
MIRACULUM,MIRACULUM,2021/Q4,"102,11%","-88,40%"
MIRACULUM,MIRACULUM,2022/Q1,"122,34%","75,52%"
MIRACULUM,MIRACULUM,2022/Q2,"100,31%","129,20%"
MIRACULUM,MIRACULUM,2022/Q3,"56,16%","-8,08%"
MIRACULUM,MIRACULUM,2022/Q4,"413,97%","822,22%"
MIRACULUM,MIRACULUM,2023/Q1,"-766,83%","263,49%"
MIRACULUM,MIRACULUM,2023/Q2,"1 227,85%","102,33%"
MIRACULUM,MIRACULUM,2023/Q3,"1 580,95%","120,38%"
MIRACULUM,MIRACULUM,2023/Q4,"673,66%","72,16%"
MIRACULUM,MIRACULUM,2024/Q1,"452,87%","70,86%"
MIRACULUM,MIRACULUM,2024/Q2,"249,84%","102,73%"
MIRACULUM,MIRACULUM,2024/Q3,"721,62%","29,58%"
MIRACULUM,MIRACULUM,2024/Q4,"395,39%","80,13%"
MIRACULUM,MIRACULUM,2025/Q1,"286,59%","-209,09%"
MLP-GROUP,MLPGROUP,2010/Q4,"216,53%","100,75%"
MLP-GROUP,MLPGROUP,2011/Q4,"19,48%","93,00%"
MLP-GROUP,MLPGROUP,2012/Q4,"109,83%","137,63%"
MLP-GROUP,MLPGROUP,2013/Q2,"145,02%","80,97%"
MLP-GROUP,MLPGROUP,2013/Q3,"121,71%","86,69%"
MLP-GROUP,MLPGROUP,2013/Q4,"110,95%","33,68%"
MLP-GROUP,MLPGROUP,2014/Q1,"98,78%","52,49%"
MLP-GROUP,MLPGROUP,2014/Q2,"52,01%","67,06%"
MLP-GROUP,MLPGROUP,2014/Q3,"70,24%","45,73%"
MLP-GROUP,MLPGROUP,2014/Q4,"124,90%","398,40%"
MLP-GROUP,MLPGROUP,2015/Q1,"123,59%","144,13%"
MLP-GROUP,MLPGROUP,2015/Q2,"118,88%","95,67%"
MLP-GROUP,MLPGROUP,2015/Q3,"215,15%","-1 172,44%"
MLP-GROUP,MLPGROUP,2015/Q4,"117,89%",
MLP-GROUP,MLPGROUP,2016/Q1,"181,76%",
MLP-GROUP,MLPGROUP,2016/Q2,"185,65%",
MLP-GROUP,MLPGROUP,2016/Q3,"84,68%",
MLP-GROUP,MLPGROUP,2016/Q4,"313,71%","-974,97%"
MLP-GROUP,MLPGROUP,2017/Q1,"222,25%","-557,08%"
MLP-GROUP,MLPGROUP,2017/Q2,"125,34%","65,55%"
MLP-GROUP,MLPGROUP,2017/Q3,"173,97%","106,75%"
MLP-GROUP,MLPGROUP,2017/Q4,"85,92%","97,11%"
MLP-GROUP,MLPGROUP,2018/Q1,"93,51%","77,46%"
MLP-GROUP,MLPGROUP,2018/Q2,"150,94%","101,30%"
MLP-GROUP,MLPGROUP,2018/Q3,"94,38%","108,62%"
MLP-GROUP,MLPGROUP,2018/Q4,"256,55%","111,13%"
MLP-GROUP,MLPGROUP,2019/Q1,"155,01%","118,33%"
MLP-GROUP,MLPGROUP,2019/Q2,"221,46%","91,06%"
MLP-GROUP,MLPGROUP,2019/Q3,"231,93%","82,26%"
MLP-GROUP,MLPGROUP,2019/Q4,"150,24%","78,73%"
MLP-GROUP,MLPGROUP,2020/Q1,"610,98%","87,02%"
MLP-GROUP,MLPGROUP,2020/Q2,"221,21%","108,99%"
MLP-GROUP,MLPGROUP,2020/Q3,"195,07%","103,37%"
MLP-GROUP,MLPGROUP,2020/Q4,"183,71%","87,88%"
MLP-GROUP,MLPGROUP,2021/Q1,"38,84%","96,46%"
MLP-GROUP,MLPGROUP,2021/Q2,"123,27%","88,69%"
MLP-GROUP,MLPGROUP,2021/Q3,"138,25%","93,24%"
MLP-GROUP,MLPGROUP,2021/Q4,"291,65%",
MLP-GROUP,MLPGROUP,2022/Q1,"379,72%",
MLP-GROUP,MLPGROUP,2022/Q2,"649,13%",
MLP-GROUP,MLPGROUP,2022/Q3,"672,38%",
MLP-GROUP,MLPGROUP,2022/Q4,"256,53%","79,23%"
MLP-GROUP,MLPGROUP,2023/Q1,"272,90%","74,51%"
MLP-GROUP,MLPGROUP,2023/Q2,"-68,90%","54,70%"
MLP-GROUP,MLPGROUP,2023/Q3,"-42,43%","57,11%"
MLP-GROUP,MLPGROUP,2023/Q4,"-29,43%","94,97%"
MLP-GROUP,MLPGROUP,2024/Q1,"-34,29%","90,36%"
MLP-GROUP,MLPGROUP,2024/Q2,"161,57%","189,54%"
MLP-GROUP,MLPGROUP,2024/Q3,"114,01%","212,28%"
MLP-GROUP,MLPGROUP,2024/Q4,"403,73%","68,22%"
MLP-GROUP,MLPGROUP,2025/Q1,"268,33%","98,94%"
MLK,MILKILAND,2009/Q4,"92,95%","35,22%"
MLK,MILKILAND,2010/Q4,"149,64%","30,74%"
MLK,MILKILAND,2011/Q1,"143,95%","36,74%"
MLK,MILKILAND,2011/Q2,"108,98%","41,44%"
MLK,MILKILAND,2011/Q3,"464,72%","62,50%"
MLK,MILKILAND,2011/Q4,"159,16%","39,74%"
MLK,MILKILAND,2012/Q1,"154,20%","103,94%"
MLK,MILKILAND,2012/Q2,"226,11%","88,71%"
MLK,MILKILAND,2012/Q3,"86,44%","112,62%"
MLK,MILKILAND,2012/Q4,"71,26%","245,24%"
MLK,MILKILAND,2013/Q1,"92,02%","133,43%"
MLK,MILKILAND,2013/Q2,"201,36%","162,25%"
MLK,MILKILAND,2013/Q3,"39,00%","54,28%"
MLK,MILKILAND,2013/Q4,"224,84%","183,94%"
MLK,MILKILAND,2014/Q1,"-171,11%","144,53%"
MLK,MILKILAND,2014/Q2,"-378,17%","85,34%"
MLK,MILKILAND,2014/Q3,"253,67%","-49,45%"
MLK,MILKILAND,2014/Q4,"-983,37%","115,69%"
MLK,MILKILAND,2015/Q1,"-247,79%",
MLK,MILKILAND,2015/Q2,"-455,55%","143,26%"
MLK,MILKILAND,2015/Q3,"2 309,50%","-28,19%"
MLK,MILKILAND,2015/Q4,"1 244,78%","-60,40%"
MLK,MILKILAND,2016/Q1,"1 547,59%","-59,85%"
MLK,MILKILAND,2016/Q2,"700,69%","-45,63%"
MLK,MILKILAND,2016/Q3,"-1 651,66%","111,36%"
MLK,MILKILAND,2016/Q4,"-406,75%","94,95%"
MLK,MILKILAND,2017/Q1,"-165,57%","105,21%"
MLK,MILKILAND,2017/Q2,"-163,07%","137,47%"
MLK,MILKILAND,2017/Q3,"-80,63%","98,31%"
MLK,MILKILAND,2017/Q4,"-69,77%","257,94%"
MLK,MILKILAND,2018/Q1,"-93,07%","291,96%"
MLK,MILKILAND,2018/Q2,"-181,53%","747,08%"
MLK,MILKILAND,2018/Q3,"-455,22%","555,03%"
MLK,MILKILAND,2018/Q4,"-640,61%","147,36%"
MLK,MILKILAND,2019/Q1,"-394,15%","35,28%"
MLK,MILKILAND,2019/Q2,"-222,88%","29,41%"
MLK,MILKILAND,2019/Q3,"-137,89%","26,94%"
MLK,MILKILAND,2019/Q4,"-123,83%","34,12%"
MLK,MILKILAND,2020/Q1,"-328,53%","-84,47%"
MLK,MILKILAND,2020/Q2,"2 917,73%","-40,48%"
MLK,MILKILAND,2020/Q3,"910,61%","-10,58%"
MLK,MILKILAND,2020/Q4,,
MLK,MILKILAND,2021/Q1,"-490,03%",
MLS,MLSYSTEM,2014/Q4,"-79,78%","124,54%"
MLS,MLSYSTEM,2015/Q4,"161,49%","102,38%"
MLS,MLSYSTEM,2016/Q4,"-72,13%","116,20%"
MLS,MLSYSTEM,2017/Q4,"205,97%","97,51%"
MLS,MLSYSTEM,2018/Q2,"-35,42%","52,79%"
MLS,MLSYSTEM,2018/Q3,"-29,33%","51,70%"
MLS,MLSYSTEM,2018/Q4,"-134,51%","67,50%"
MLS,MLSYSTEM,2019/Q1,"-136,87%","68,93%"
MLS,MLSYSTEM,2019/Q2,"-51,72%","220,80%"
MLS,MLSYSTEM,2019/Q3,"-32,96%","103,78%"
MLS,MLSYSTEM,2019/Q4,"-45,86%","98,77%"
MLS,MLSYSTEM,2020/Q1,"-58,59%","101,80%"
MLS,MLSYSTEM,2020/Q2,"212,26%","91,49%"
MLS,MLSYSTEM,2020/Q3,"57,38%","44,64%"
MLS,MLSYSTEM,2020/Q4,"-46,44%","90,07%"
MLS,MLSYSTEM,2021/Q1,"-89,73%","78,61%"
MLS,MLSYSTEM,2021/Q2,"670,42%","86,41%"
MLS,MLSYSTEM,2021/Q3,"-18,77%","307,55%"
MLS,MLSYSTEM,2021/Q4,"17,11%","92,93%"
MLS,MLSYSTEM,2022/Q1,"-46,46%","148,60%"
MLS,MLSYSTEM,2022/Q2,"31,65%","185,20%"
MLS,MLSYSTEM,2022/Q3,"129,42%","211,85%"
MLS,MLSYSTEM,2022/Q4,"2,08%","95,20%"
MLS,MLSYSTEM,2023/Q1,"13,56%","98,71%"
MLS,MLSYSTEM,2023/Q2,"-10,09%","62,33%"
MLS,MLSYSTEM,2023/Q3,"-18,52%","89,77%"
MLS,MLSYSTEM,2023/Q4,"-248,17%","103,84%"
MLS,MLSYSTEM,2024/Q1,"20,32%","97,05%"
MLS,MLSYSTEM,2024/Q2,"29,74%","157,91%"
MLS,MLSYSTEM,2024/Q3,"375,52%","121,99%"
MLS,MLSYSTEM,2024/Q4,"-108,53%","-217,35%"
MLS,MLSYSTEM,2025/Q1,"-73,19%","376,07%"
MENNICA-POLSKA,MENNICA,2004/Q4,"96,74%",
MENNICA-POLSKA,MENNICA,2005/Q4,"81,13%","68,87%"
MENNICA-POLSKA,MENNICA,2006/Q1,"116,47%","157,60%"
MENNICA-POLSKA,MENNICA,2006/Q2,"139,46%","184,96%"
MENNICA-POLSKA,MENNICA,2006/Q3,"60,36%","138,64%"
MENNICA-POLSKA,MENNICA,2006/Q4,"83,99%","44,29%"
MENNICA-POLSKA,MENNICA,2007/Q1,"59,01%","109,15%"
MENNICA-POLSKA,MENNICA,2007/Q2,"35,73%",
MENNICA-POLSKA,MENNICA,2007/Q3,"46,32%","6,48%"
MENNICA-POLSKA,MENNICA,2007/Q4,"75,14%","180,70%"
MENNICA-POLSKA,MENNICA,2008/Q1,"106,55%","166,51%"
MENNICA-POLSKA,MENNICA,2008/Q2,"335,89%","319,12%"
MENNICA-POLSKA,MENNICA,2008/Q3,"-790,09%","-447,92%"
MENNICA-POLSKA,MENNICA,2008/Q4,"156,76%","311,73%"
MENNICA-POLSKA,MENNICA,2009/Q1,"170,68%","287,95%"
MENNICA-POLSKA,MENNICA,2009/Q2,"125,98%","245,46%"
MENNICA-POLSKA,MENNICA,2009/Q3,"84,77%","84,79%"
MENNICA-POLSKA,MENNICA,2009/Q4,"102,82%","68,67%"
MENNICA-POLSKA,MENNICA,2010/Q1,"72,42%","25,95%"
MENNICA-POLSKA,MENNICA,2010/Q2,"59,31%","21,76%"
MENNICA-POLSKA,MENNICA,2010/Q3,"70,58%",
MENNICA-POLSKA,MENNICA,2010/Q4,"71,42%",
MENNICA-POLSKA,MENNICA,2011/Q1,"322,47%",
MENNICA-POLSKA,MENNICA,2011/Q2,"117,98%","542,85%"
MENNICA-POLSKA,MENNICA,2011/Q3,"73,95%","147,21%"
MENNICA-POLSKA,MENNICA,2011/Q4,"184,90%","155,37%"
MENNICA-POLSKA,MENNICA,2012/Q1,"427,69%","156,24%"
MENNICA-POLSKA,MENNICA,2012/Q2,"207,32%","70,67%"
MENNICA-POLSKA,MENNICA,2012/Q3,"-1 797,76%","40,60%"
MENNICA-POLSKA,MENNICA,2012/Q4,"-652,58%","34,05%"
MENNICA-POLSKA,MENNICA,2013/Q1,"218,99%","20,26%"
MENNICA-POLSKA,MENNICA,2013/Q2,"-399,42%",
MENNICA-POLSKA,MENNICA,2013/Q3,"-454,29%",
MENNICA-POLSKA,MENNICA,2013/Q4,"186,55%",
MENNICA-POLSKA,MENNICA,2014/Q1,"818,66%",
MENNICA-POLSKA,MENNICA,2014/Q2,"127,50%","278,00%"
MENNICA-POLSKA,MENNICA,2014/Q3,"95,38%","109,14%"
MENNICA-POLSKA,MENNICA,2014/Q4,"41,88%","184,52%"
MENNICA-POLSKA,MENNICA,2015/Q1,"10,26%","180,36%"
MENNICA-POLSKA,MENNICA,2015/Q2,"29,83%","87,39%"
MENNICA-POLSKA,MENNICA,2015/Q3,"35,00%","159,39%"
MENNICA-POLSKA,MENNICA,2015/Q4,"48,90%","39,12%"
MENNICA-POLSKA,MENNICA,2016/Q1,"125,50%","-619,87%"
MENNICA-POLSKA,MENNICA,2016/Q2,"557,35%","-318,86%"
MENNICA-POLSKA,MENNICA,2016/Q3,"136,35%","171,60%"
MENNICA-POLSKA,MENNICA,2016/Q4,"51,46%","92,67%"
MENNICA-POLSKA,MENNICA,2017/Q1,"86,95%","59,27%"
MENNICA-POLSKA,MENNICA,2017/Q2,"101,79%","123,15%"
MENNICA-POLSKA,MENNICA,2017/Q3,"119,93%","84,36%"
MENNICA-POLSKA,MENNICA,2017/Q4,"213,32%",
MENNICA-POLSKA,MENNICA,2018/Q1,"76,69%",
MENNICA-POLSKA,MENNICA,2018/Q2,"37,72%",
MENNICA-POLSKA,MENNICA,2018/Q3,"49,64%",
MENNICA-POLSKA,MENNICA,2018/Q4,"88,91%","598,79%"
MENNICA-POLSKA,MENNICA,2019/Q1,"174,18%","-699,64%"
MENNICA-POLSKA,MENNICA,2019/Q2,"142,22%","-506,54%"
MENNICA-POLSKA,MENNICA,2019/Q3,"77,79%","-485,86%"
MENNICA-POLSKA,MENNICA,2019/Q4,"1,21%","134,47%"
MENNICA-POLSKA,MENNICA,2020/Q1,"-18,71%","144,38%"
MENNICA-POLSKA,MENNICA,2020/Q2,"49,48%","35,93%"
MENNICA-POLSKA,MENNICA,2020/Q3,"38,87%","-1 117,76%"
MENNICA-POLSKA,MENNICA,2020/Q4,"-376,70%","-47,81%"
MENNICA-POLSKA,MENNICA,2021/Q1,"116,27%","26,15%"
MENNICA-POLSKA,MENNICA,2021/Q2,"-11 182,99%",
MENNICA-POLSKA,MENNICA,2021/Q3,"305,55%",
MENNICA-POLSKA,MENNICA,2021/Q4,"237,92%",
MENNICA-POLSKA,MENNICA,2022/Q1,"-93,78%","-10,32%"
MENNICA-POLSKA,MENNICA,2022/Q2,"361,10%","148,02%"
MENNICA-POLSKA,MENNICA,2022/Q3,"452,35%","-231,81%"
MENNICA-POLSKA,MENNICA,2022/Q4,"357,75%","-49,10%"
MENNICA-POLSKA,MENNICA,2023/Q1,"22,67%","31,98%"
MENNICA-POLSKA,MENNICA,2023/Q2,"30,50%","17,06%"
MENNICA-POLSKA,MENNICA,2023/Q3,"55,72%","1,64%"
MENNICA-POLSKA,MENNICA,2023/Q4,"55,32%",
MENNICA-POLSKA,MENNICA,2024/Q1,"88,08%",
MENNICA-POLSKA,MENNICA,2024/Q2,"117,33%",
MENNICA-POLSKA,MENNICA,2024/Q3,"156,88%",
MENNICA-POLSKA,MENNICA,2024/Q4,"197,06%","586,91%"
MENNICA-POLSKA,MENNICA,2025/Q1,"89,83%","582,93%"
MOC,MOLECURE,2015/Q4,"36,54%","73,76%"
MOC,MOLECURE,2016/Q4,"168,22%","140,01%"
MOC,MOLECURE,2017/Q2,"68,24%","62,48%"
MOC,MOLECURE,2017/Q3,"56,74%","65,86%"
MOC,MOLECURE,2017/Q4,"400,67%","69,23%"
MOC,MOLECURE,2018/Q1,"123,44%","128,74%"
MOC,MOLECURE,2018/Q2,"183,16%","33,04%"
MOC,MOLECURE,2018/Q3,"84,28%","35,28%"
MOC,MOLECURE,2018/Q4,"91,00%","41,45%"
MOC,MOLECURE,2019/Q1,"115,73%","46,98%"
MOC,MOLECURE,2019/Q2,"80,21%","266,25%"
MOC,MOLECURE,2019/Q3,"111,31%","202,28%"
MOC,MOLECURE,2019/Q4,"58,61%","204,71%"
MOC,MOLECURE,2020/Q1,"64,23%","178,56%"
MOC,MOLECURE,2020/Q2,"202,26%","151,25%"
MOC,MOLECURE,2020/Q3,"142,02%","170,12%"
MOC,MOLECURE,2020/Q4,"112,08%",
MOC,MOLECURE,2021/Q1,"112,56%",
MOC,MOLECURE,2021/Q2,"129,07%",
MOC,MOLECURE,2021/Q3,"126,82%",
MOC,MOLECURE,2021/Q4,"101,04%","5 214,13%"
MOC,MOLECURE,2022/Q1,"96,49%","-455,47%"
MOC,MOLECURE,2022/Q2,"115,42%","-469,74%"
MOC,MOLECURE,2022/Q3,"197,09%","1 460,02%"
MOC,MOLECURE,2022/Q4,"149,46%","-1 184,27%"
MOC,MOLECURE,2023/Q1,"127,30%","-646,78%"
MOC,MOLECURE,2023/Q2,"672,60%","1 530,04%"
MOC,MOLECURE,2023/Q3,"211,27%","91,46%"
MOC,MOLECURE,2023/Q4,"121,82%","105,06%"
MOC,MOLECURE,2024/Q1,"166,64%","102,69%"
MOC,MOLECURE,2024/Q2,"95,53%","153,25%"
MOC,MOLECURE,2024/Q3,"91,99%","-58,29%"
MOC,MOLECURE,2024/Q4,"54,90%","-106,04%"
MOC,MOLECURE,2025/Q1,"103,29%","296,08%"
MOL-MAGYAR-OLAJ,MOL,2004/Q4,"64,32%","90,39%"
MOL-MAGYAR-OLAJ,MOL,2005/Q4,"86,80%","111,51%"
MOL-MAGYAR-OLAJ,MOL,2006/Q1,"102,36%",
MOL-MAGYAR-OLAJ,MOL,2006/Q2,"84,42%",
MOL-MAGYAR-OLAJ,MOL,2006/Q3,"72,71%",
MOL-MAGYAR-OLAJ,MOL,2006/Q4,"62,77%",
MOL-MAGYAR-OLAJ,MOL,2007/Q1,"58,60%","97,68%"
MOL-MAGYAR-OLAJ,MOL,2007/Q2,"54,01%","169,23%"
MOL-MAGYAR-OLAJ,MOL,2007/Q3,"48,29%","65,81%"
MOL-MAGYAR-OLAJ,MOL,2007/Q4,"81,71%","484,48%"
MOL-MAGYAR-OLAJ,MOL,2008/Q1,"108,96%","119,24%"
MOL-MAGYAR-OLAJ,MOL,2008/Q2,"153,71%","70,52%"
MOL-MAGYAR-OLAJ,MOL,2008/Q3,"116,72%","-2,11%"
MOL-MAGYAR-OLAJ,MOL,2008/Q4,"40,73%","85,35%"
MOL-MAGYAR-OLAJ,MOL,2009/Q1,"-10,26%","95,50%"
MOL-MAGYAR-OLAJ,MOL,2009/Q2,"7,57%","62,78%"
MOL-MAGYAR-OLAJ,MOL,2009/Q3,"12,35%","52,61%"
MOL-MAGYAR-OLAJ,MOL,2009/Q4,"29,10%","116,86%"
MOL-MAGYAR-OLAJ,MOL,2010/Q1,"60,66%","233,90%"
MOL-MAGYAR-OLAJ,MOL,2010/Q2,"8,23%","-373,27%"
MOL-MAGYAR-OLAJ,MOL,2010/Q3,"32,25%","69,58%"
MOL-MAGYAR-OLAJ,MOL,2010/Q4,"27,82%","68,99%"
MOL-MAGYAR-OLAJ,MOL,2011/Q1,"40,90%","39,45%"
MOL-MAGYAR-OLAJ,MOL,2011/Q2,"88,66%","74,57%"
MOL-MAGYAR-OLAJ,MOL,2011/Q3,"50,97%","140,60%"
MOL-MAGYAR-OLAJ,MOL,2011/Q4,"41,27%","107,97%"
MOL-MAGYAR-OLAJ,MOL,2012/Q1,"73,68%","-42 739,18%"
MOL-MAGYAR-OLAJ,MOL,2012/Q2,"19,73%","481,23%"
MOL-MAGYAR-OLAJ,MOL,2012/Q3,"23,65%","96,77%"
MOL-MAGYAR-OLAJ,MOL,2012/Q4,"33,40%","97,86%"
MOL-MAGYAR-OLAJ,MOL,2013/Q1,"20,83%","53,98%"
MOL-MAGYAR-OLAJ,MOL,2013/Q2,"21,45%","73,18%"
MOL-MAGYAR-OLAJ,MOL,2013/Q3,"5,62%","136,48%"
MOL-MAGYAR-OLAJ,MOL,2013/Q4,"3,49%","33,29%"
MOL-MAGYAR-OLAJ,MOL,2014/Q1,"1,74%","-1 582,77%"
MOL-MAGYAR-OLAJ,MOL,2014/Q2,"2,66%","945,97%"
MOL-MAGYAR-OLAJ,MOL,2014/Q3,"14,45%","91,97%"
MOL-MAGYAR-OLAJ,MOL,2014/Q4,"0,95%","333,99%"
MOL-MAGYAR-OLAJ,MOL,2015/Q1,"-1,63%","134,64%"
MOL-MAGYAR-OLAJ,MOL,2015/Q2,"6,43%","134,98%"
MOL-MAGYAR-OLAJ,MOL,2015/Q3,"15,88%","142,55%"
MOL-MAGYAR-OLAJ,MOL,2015/Q4,"-39,84%","109,57%"
MOL-MAGYAR-OLAJ,MOL,2016/Q1,"-28,90%","99,72%"
MOL-MAGYAR-OLAJ,MOL,2016/Q2,"-24,52%","63,34%"
MOL-MAGYAR-OLAJ,MOL,2016/Q3,"-34,54%","63,24%"
MOL-MAGYAR-OLAJ,MOL,2016/Q4,"50,73%","78,01%"
MOL-MAGYAR-OLAJ,MOL,2017/Q1,"57,68%","68,31%"
MOL-MAGYAR-OLAJ,MOL,2017/Q2,"50,86%","159,05%"
MOL-MAGYAR-OLAJ,MOL,2017/Q3,"43,89%","108,18%"
MOL-MAGYAR-OLAJ,MOL,2017/Q4,"54,84%","106,56%"
MOL-MAGYAR-OLAJ,MOL,2018/Q1,"47,72%","140,77%"
MOL-MAGYAR-OLAJ,MOL,2018/Q2,"43,67%","57,16%"
MOL-MAGYAR-OLAJ,MOL,2018/Q3,"56,87%","53,31%"
MOL-MAGYAR-OLAJ,MOL,2018/Q4,"50,53%","62,18%"
MOL-MAGYAR-OLAJ,MOL,2019/Q1,"44,79%","75,43%"
MOL-MAGYAR-OLAJ,MOL,2019/Q2,"52,50%","111,84%"
MOL-MAGYAR-OLAJ,MOL,2019/Q3,"43,47%","147,31%"
MOL-MAGYAR-OLAJ,MOL,2019/Q4,"31,70%","111,10%"
MOL-MAGYAR-OLAJ,MOL,2020/Q1,"19,96%","62,63%"
MOL-MAGYAR-OLAJ,MOL,2020/Q2,"1,40%","94,32%"
MOL-MAGYAR-OLAJ,MOL,2020/Q3,"0,56%","96,71%"
MOL-MAGYAR-OLAJ,MOL,2020/Q4,"-2,79%","133,00%"
MOL-MAGYAR-OLAJ,MOL,2021/Q1,"16,18%","193,56%"
